occupation_type,signup_goal,plan_type,signup_discount_used,avg_quiz_score,video_replay_count,course_completion_rate,days_since_last_login,engagement_trend,hands_on_exercises_completed,project_submissions,forum_posts,goal_progress_score,peer_completion_percentile,tenure_months,payment_failures,support_tickets_raised,satisfaction_score,churned,days_to_churn,monthly_price,clv
Working Professional,Get a Job,Annual,Yes,76.2,1,54.8,8,-1,2,0,1,10.4,37.3,16,1,0,4,1,55.0,10,170
Student,Hobby,Monthly,No,93.6,1,87.8,10,-1,8,3,0,68.7,86.1,0,0,1,4,0,,15,15
Working Professional,Certification,Monthly,Yes,42.1,5,43.9,25,0,5,2,2,63.0,24.0,2,0,0,3,1,140.0,15,45
Student,Certification,Annual,No,62.4,1,80.4,26,-1,7,4,1,85.7,76.8,7,0,1,4,0,,10,80
Student,Certification,Annual,No,38.1,8,14.5,10,-1,1,1,0,39.5,3.6,4,0,0,2,1,66.0,10,50
Working Professional,Certification,Monthly,Yes,70.5,1,9.1,0,0,1,0,0,41.3,2.1,2,1,0,3,1,7.0,15,45
Working Professional,Get a Job,Monthly,Yes,74.1,4,61.8,1,0,2,0,0,9.5,47.5,4,0,1,3,0,,15,75
Working Professional,Certification,Monthly,Yes,93.9,0,99.8,19,-1,8,1,1,60.8,96.4,24,1,1,5,1,33.0,15,375
Student,Hobby,Annual,No,71.8,1,22.9,0,1,0,0,0,11.6,7.3,0,0,0,2,0,,10,10
Working Professional,Certification,Monthly,Yes,85.7,0,74.4,2,-1,13,1,0,67.8,66.7,1,0,2,5,0,,15,30
Working Professional,Certification,Annual,No,78.8,1,85.4,2,1,7,3,5,88.4,83.4,0,1,0,5,0,,10,10
Student,Certification,Monthly,Yes,63.5,2,38.2,9,1,7,2,4,59.2,18.2,7,0,1,3,0,,15,120
Working Professional,Get a Job,Annual,Yes,48.9,5,0.0,8,1,1,1,4,34.2,0.4,0,0,0,2,1,19.0,10,10
Student,Certification,Monthly,No,74.1,4,40.1,3,1,4,1,4,54.6,20.0,4,1,0,3,0,,15,75
Student,Hobby,Annual,No,47.6,3,16.5,2,1,3,0,4,24.6,4.3,15,0,0,3,0,,10,160
Career Switcher,Get a Job,Monthly,No,89.4,0,51.7,14,-1,4,1,0,35.4,33.6,0,0,4,2,0,,15,15
Career Switcher,Get a Job,Annual,No,67.6,2,76.4,27,-1,11,5,0,100.0,70.5,3,0,1,3,1,40.0,10,40
Career Switcher,Get a Job,Monthly,No,87.9,0,100.0,0,-1,8,3,0,64.6,98.2,3,1,0,5,0,,15,60
Student,Certification,Annual,Yes,62.8,2,55.6,1,0,7,5,1,100.0,38.4,3,0,1,3,0,,10,40
Student,Hobby,Annual,No,74.0,4,69.6,10,0,5,2,2,39.7,59.2,10,0,0,4,0,,10,110
Working Professional,Get a Job,Monthly,No,73.1,4,25.4,16,1,0,0,3,20.8,8.7,0,0,0,3,0,,15,15
Working Professional,Certification,Annual,Yes,69.3,5,52.2,15,-1,3,0,0,50.1,34.0,12,0,2,4,1,11.0,10,130
Student,Get a Job,Annual,Yes,63.5,3,43.4,12,0,8,2,2,75.1,23.2,14,1,1,4,1,68.0,10,150
Working Professional,Hobby,Monthly,Yes,75.9,1,86.2,21,-1,6,3,0,65.2,84.4,4,0,2,4,0,,15,75
Student,Get a Job,Annual,No,56.1,2,1.0,2,0,0,0,1,6.6,0.7,17,0,1,1,0,,10,180
Career Switcher,Get a Job,Monthly,Yes,51.9,1,48.9,1,1,1,1,3,15.2,30.0,3,0,0,3,0,,15,60
Student,Certification,Annual,No,88.6,1,89.4,9,0,9,0,1,40.2,88.0,9,1,0,5,0,,10,100
Working Professional,Certification,Annual,Yes,80.9,0,83.6,17,-1,9,6,0,97.4,81.2,3,0,1,5,0,,10,40
Student,Certification,Monthly,Yes,71.0,4,70.7,8,1,6,0,6,8.3,61.1,0,0,0,4,0,,15,15
Working Professional,Certification,Annual,No,95.0,0,71.0,32,-1,8,2,0,55.4,61.8,0,0,3,4,1,188.0,10,10
Working Professional,Certification,Annual,No,66.0,3,0.0,15,-1,2,1,1,28.4,0.4,4,1,3,1,1,5.0,10,50
Student,Get a Job,Annual,No,89.8,2,96.5,12,0,7,5,3,100.0,94.5,24,0,0,4,0,,10,250
Career Switcher,Get a Job,Annual,No,72.6,2,70.2,0,1,7,3,4,85.5,60.5,1,0,0,4,0,,10,20
Working Professional,Certification,Annual,No,54.6,4,86.4,1,0,8,5,2,100.0,84.6,18,0,0,5,0,,10,190
Career Switcher,Get a Job,Annual,Yes,97.7,2,81.1,15,0,11,3,1,90.4,77.6,20,1,0,4,0,,10,210
Career Switcher,Get a Job,Annual,Yes,84.9,0,86.2,2,1,10,0,2,11.9,84.5,4,0,0,5,0,,10,50
Working Professional,Certification,Annual,No,68.2,4,100.0,0,1,9,2,4,77.2,98.2,4,0,0,4,0,,10,50
Career Switcher,Hobby,Monthly,No,80.9,2,52.2,24,-1,5,0,1,41.9,34.1,5,0,0,3,0,,15,90
Student,Certification,Monthly,No,63.9,6,63.9,22,0,3,3,2,67.1,50.3,11,0,0,4,0,,15,180
Student,Get a Job,Annual,Yes,82.4,0,98.3,2,0,6,3,1,77.3,95.6,1,1,1,5,0,,10,20
Student,Get a Job,Annual,Yes,34.1,11,28.2,15,1,1,1,4,40.5,10.3,3,0,0,3,0,,10,40
Student,Hobby,Annual,Yes,54.7,3,56.3,0,1,3,1,4,33.5,39.2,1,0,0,3,0,,10,20
Working Professional,Certification,Monthly,No,84.7,2,57.7,3,0,8,6,1,100.0,41.2,16,0,0,4,0,,15,255
Student,Get a Job,Monthly,No,66.3,1,84.3,9,0,6,2,3,55.7,81.9,0,0,1,4,0,,15,15
Career Switcher,Get a Job,Annual,No,73.1,0,76.4,14,0,8,2,0,51.6,70.4,11,0,2,4,0,,10,120
Working Professional,Certification,Annual,No,49.8,4,44.2,0,-1,3,1,0,32.2,24.3,4,0,3,2,1,5.0,10,50
Student,Certification,Monthly,Yes,97.7,0,79.7,3,1,5,1,1,59.5,75.9,10,0,0,4,0,,15,165
Working Professional,Certification,Annual,No,87.9,1,75.2,2,1,10,3,1,62.1,68.1,17,0,0,3,0,,10,180
Student,Get a Job,Annual,Yes,67.0,0,54.9,67,0,2,0,2,7.2,37.5,3,1,0,4,0,,10,40
Career Switcher,Hobby,Monthly,Yes,63.9,3,89.0,11,-1,8,4,0,73.0,87.6,2,1,1,5,1,23.0,15,45
Student,Get a Job,Monthly,Yes,85.4,5,76.1,5,1,15,3,6,95.6,69.8,8,0,0,5,0,,15,135
Career Switcher,Get a Job,Monthly,Yes,99.7,1,100.0,0,1,6,1,6,50.4,98.2,24,0,0,4,0,,15,375
Working Professional,Certification,Annual,No,84.3,1,77.8,9,1,9,3,2,88.6,72.4,10,0,0,4,0,,10,110
Student,Certification,Monthly,No,100.0,1,67.1,10,1,2,0,0,24.4,55.1,12,0,2,3,1,47.0,15,195
Student,Get a Job,Monthly,Yes,56.2,4,13.5,16,0,1,0,1,13.4,3.2,7,0,0,2,1,108.0,15,120
Career Switcher,Get a Job,Annual,No,57.7,5,66.5,3,0,3,3,2,75.9,54.3,3,0,1,4,0,,10,40
Working Professional,Certification,Monthly,Yes,52.2,2,70.4,39,0,7,0,0,33.2,60.8,8,0,0,4,1,66.0,15,135
Working Professional,Hobby,Monthly,No,76.6,1,62.7,5,0,2,0,1,13.6,48.6,1,0,0,4,0,,15,30
Working Professional,Hobby,Monthly,No,72.6,4,84.5,3,0,10,1,1,53.5,82.2,5,0,1,5,0,,15,90
Student,Get a Job,Annual,No,67.7,8,27.4,4,-1,1,1,0,34.4,9.7,6,0,1,3,1,15.0,10,70
Working Professional,Get a Job,Annual,No,82.1,2,90.6,7,1,14,3,5,89.4,89.0,18,0,0,4,0,,10,190
Student,Hobby,Monthly,Yes,88.5,0,91.4,27,-1,9,0,1,39.8,90.1,20,0,4,3,0,,15,315
Career Switcher,Certification,Monthly,Yes,47.1,3,41.1,13,-1,7,3,0,87.5,20.9,0,0,1,3,1,5.0,15,15
Working Professional,Hobby,Annual,No,61.0,2,15.6,8,-1,1,0,1,28.5,4.0,7,0,1,2,1,5.0,10,80
Student,Get a Job,Annual,Yes,82.3,0,96.0,1,1,9,2,2,67.6,94.1,12,0,0,5,0,,10,130
Student,Certification,Monthly,No,63.0,1,52.1,1,1,3,2,0,67.1,33.9,6,0,2,2,0,,15,105
Student,Certification,Monthly,Yes,58.0,5,48.2,6,0,1,0,2,46.3,29.2,0,0,1,3,0,,15,15
Student,Certification,Monthly,Yes,85.3,0,92.4,13,0,9,5,0,100.0,91.0,2,0,0,4,0,,15,45
Working Professional,Certification,Annual,No,50.7,2,74.2,13,-1,14,0,1,15.7,66.6,3,0,1,4,0,,10,40
Working Professional,Get a Job,Monthly,No,65.5,3,15.2,2,0,0,0,3,15.2,3.9,8,0,1,3,0,,15,135
Career Switcher,Get a Job,Annual,Yes,74.9,6,29.2,1,-1,2,0,0,0.0,11.0,0,0,3,2,1,5.0,10,10
Working Professional,Certification,Monthly,No,61.4,5,79.0,4,0,9,2,4,77.4,74.4,6,1,0,5,0,,15,105
Student,Certification,Monthly,Yes,81.7,2,87.1,25,-1,10,1,1,32.2,85.5,0,0,0,4,0,,15,15
Working Professional,Hobby,Annual,Yes,61.5,0,58.6,7,0,1,0,2,34.3,42.3,4,0,1,3,0,,10,50
Working Professional,Certification,Monthly,Yes,91.1,1,65.2,3,1,3,3,3,78.3,52.3,4,0,0,3,0,,15,75
Working Professional,Certification,Annual,No,68.1,4,63.8,3,1,4,0,2,41.1,50.1,4,0,0,4,0,,10,50
Working Professional,Get a Job,Monthly,Yes,80.1,0,98.3,1,-1,10,2,0,63.7,95.6,9,0,1,5,0,,15,150
Working Professional,Certification,Annual,No,81.2,1,100.0,6,-1,12,0,0,41.5,98.2,0,0,1,4,0,,10,10
Working Professional,Hobby,Monthly,Yes,60.6,6,47.9,15,0,5,3,1,70.2,28.9,2,3,0,4,1,134.0,15,45
Working Professional,Get a Job,Annual,Yes,39.2,8,38.2,34,-1,2,1,0,37.4,18.1,8,0,1,2,1,5.0,10,90
Student,Get a Job,Monthly,No,75.4,2,100.0,6,0,10,3,0,67.3,98.2,22,0,0,5,0,,15,345
Student,Certification,Annual,No,71.1,2,26.0,1,0,0,0,1,45.4,8.9,7,0,0,2,0,,10,80
Student,Get a Job,Annual,No,78.3,0,100.0,11,1,16,5,3,100.0,98.2,17,0,0,5,0,,10,180
Working Professional,Certification,Annual,No,66.6,4,59.0,14,0,0,0,1,23.5,43.1,24,0,0,4,0,,10,250
Student,Hobby,Monthly,Yes,63.5,4,56.5,0,-1,3,1,0,79.1,39.4,17,0,1,3,0,,15,270
Working Professional,Certification,Annual,No,100.0,0,71.9,18,-1,11,1,0,4.4,62.8,24,0,1,3,0,,10,250
Career Switcher,Get a Job,Monthly,Yes,47.9,10,19.5,17,-1,0,0,0,11.0,5.6,12,0,3,2,1,5.0,15,195
Student,Certification,Monthly,Yes,81.0,0,68.8,6,0,1,0,3,0.0,57.8,17,0,0,4,0,,15,270
Working Professional,Certification,Monthly,Yes,61.4,2,35.9,8,0,1,0,4,35.1,16.0,5,0,1,3,0,,15,90
Working Professional,Get a Job,Monthly,No,65.0,5,64.0,12,1,3,3,4,78.0,50.4,3,0,0,3,1,172.0,15,60
Student,Certification,Monthly,Yes,65.2,3,77.3,11,-1,10,5,0,61.0,71.5,24,2,0,4,0,,15,375
Student,Certification,Annual,No,57.9,6,34.0,0,0,0,0,0,46.3,14.3,0,0,0,3,0,,10,10
Student,Certification,Annual,No,78.6,1,69.6,1,0,5,0,0,10.7,59.1,24,0,0,3,0,,10,250
Student,Get a Job,Annual,No,90.9,2,83.8,1,-1,6,0,0,19.5,81.5,4,0,0,4,0,,10,50
Career Switcher,Certification,Annual,No,77.1,0,63.3,14,1,6,2,3,45.4,49.5,0,0,1,4,0,,10,10
Career Switcher,Get a Job,Annual,No,71.6,2,59.9,5,-1,7,2,0,55.4,44.6,12,1,1,3,1,74.0,10,130
Working Professional,Get a Job,Monthly,Yes,55.2,4,49.6,7,0,3,0,1,0.0,31.3,4,0,0,3,0,,15,75
Career Switcher,Certification,Annual,No,77.8,3,55.4,14,-1,4,3,1,81.4,38.2,12,0,0,3,0,,10,130
Career Switcher,Certification,Annual,No,100.0,1,87.1,4,0,14,5,1,96.4,85.4,0,0,0,5,0,,10,10
Student,Get a Job,Annual,No,64.3,7,43.8,13,1,1,1,2,31.3,23.8,24,1,0,3,1,29.0,10,250
Career Switcher,Get a Job,Monthly,No,64.4,5,75.5,5,-1,7,1,0,34.0,68.5,8,0,2,4,0,,15,135
Working Professional,Certification,Annual,No,61.6,3,51.1,4,0,2,0,0,5.3,33.0,0,0,0,3,0,,10,10
Career Switcher,Get a Job,Monthly,No,62.7,5,40.8,4,-1,8,2,2,66.9,20.6,0,0,2,2,0,,15,15
Career Switcher,Get a Job,Monthly,Yes,28.8,4,24.5,33,0,0,0,3,4.4,8.2,7,0,1,2,1,51.0,15,120
Student,Get a Job,Monthly,No,76.1,1,98.6,14,0,7,5,2,100.0,96.0,24,1,1,5,0,,15,375
Student,Certification,Annual,No,57.3,2,91.8,0,1,6,1,2,37.8,90.5,5,0,1,4,0,,10,60
Student,Certification,Annual,No,45.8,8,33.9,31,-1,4,1,2,39.2,14.2,3,0,0,4,1,5.0,10,40
Working Professional,Certification,Annual,No,81.3,1,71.2,14,1,11,2,1,39.7,61.9,22,0,0,3,0,,10,230
Career Switcher,Get a Job,Annual,No,53.8,2,55.7,1,0,5,1,1,18.9,38.5,24,1,0,3,0,,10,250
Career Switcher,Get a Job,Monthly,No,64.9,3,53.0,0,1,5,5,3,100.0,35.0,12,0,0,4,0,,15,195
Student,Hobby,Monthly,No,92.0,0,77.7,3,1,16,3,4,85.9,72.3,10,0,0,4,0,,15,165
Working Professional,Certification,Monthly,No,48.9,3,21.2,9,0,2,1,0,36.5,6.5,0,0,1,3,0,,15,15
Working Professional,Certification,Monthly,Yes,47.0,3,10.5,9,-1,0,0,0,31.8,2.5,3,0,2,2,1,5.0,15,60
Student,Hobby,Annual,No,74.0,5,74.5,3,0,16,6,1,100.0,66.9,20,0,1,5,0,,10,210
Student,Hobby,Monthly,Yes,87.2,3,92.9,5,-1,7,2,2,64.3,91.5,3,0,0,5,0,,15,60
Student,Certification,Monthly,Yes,46.4,7,25.3,2,0,0,0,0,37.3,8.6,3,1,1,2,0,,15,60
Career Switcher,Get a Job,Monthly,No,76.1,1,98.9,0,1,11,1,4,35.9,96.1,6,2,0,4,0,,15,105
Student,Certification,Monthly,Yes,78.7,1,88.9,7,-1,8,1,0,35.2,87.5,4,2,3,4,1,5.0,15,75
Working Professional,Certification,Monthly,No,39.1,7,8.3,4,1,2,0,2,35.8,1.9,15,0,0,3,0,,15,240
Working Professional,Certification,Annual,Yes,82.0,0,74.7,7,1,9,1,1,73.0,67.2,0,0,0,5,0,,10,10
Working Professional,Certification,Annual,No,83.1,0,100.0,29,-1,11,3,1,67.2,98.2,8,0,2,5,0,,10,90
Career Switcher,Get a Job,Annual,No,65.3,3,47.8,1,0,6,1,3,43.7,28.7,9,0,1,3,0,,10,100
Career Switcher,Get a Job,Annual,No,88.8,0,69.6,0,1,6,3,2,86.8,59.2,16,0,0,4,0,,10,170
Student,Hobby,Monthly,Yes,87.0,0,90.8,0,1,8,2,2,51.2,89.2,4,0,0,5,0,,15,75
Working Professional,Certification,Monthly,No,71.5,5,49.4,6,-1,9,2,1,73.4,30.9,2,0,0,4,0,,15,45
Student,Certification,Annual,No,63.2,3,66.2,12,0,7,3,0,86.7,53.7,7,0,0,4,0,,10,80
Student,Get a Job,Annual,No,55.4,2,54.3,8,0,4,1,0,40.8,36.6,10,0,1,4,0,,10,110
Student,Certification,Monthly,Yes,69.4,2,39.1,6,1,1,0,4,56.2,18.9,1,1,2,3,0,,15,30
Working Professional,Hobby,Monthly,Yes,78.5,0,69.6,4,1,5,2,5,87.5,59.3,1,1,0,4,0,,15,30
Working Professional,Certification,Monthly,Yes,65.1,2,21.3,3,1,2,0,3,30.8,6.6,2,1,0,2,1,36.0,15,45
Student,Hobby,Monthly,Yes,37.0,10,8.4,4,1,1,1,4,48.4,2.0,2,0,0,2,1,52.0,15,45
Student,Certification,Annual,No,89.0,2,89.4,9,-1,4,2,0,38.6,88.0,11,0,3,3,0,,10,120
Career Switcher,Get a Job,Annual,No,72.9,6,79.1,1,1,10,3,2,100.0,74.8,6,1,0,4,0,,10,70
Student,Get a Job,Annual,No,64.3,2,42.8,14,1,5,4,6,100.0,22.4,6,0,1,3,0,,10,70
Student,Certification,Monthly,Yes,82.9,3,59.4,8,-1,2,0,3,20.9,43.9,0,2,2,5,1,47.0,15,15
Working Professional,Certification,Monthly,Yes,92.9,1,97.1,3,1,7,1,3,31.0,94.8,24,0,0,5,0,,15,375
Career Switcher,Get a Job,Monthly,Yes,28.0,2,42.5,6,0,5,1,1,25.6,22.2,14,0,0,4,0,,15,225
Student,Certification,Monthly,Yes,76.5,0,90.8,32,-1,10,3,0,100.0,89.3,4,0,2,4,0,,15,75
Working Professional,Hobby,Monthly,No,48.6,5,3.2,0,1,0,1,10,63.5,0.9,0,0,0,2,1,5.0,15,15
Working Professional,Get a Job,Annual,No,77.5,1,87.7,2,-1,4,2,0,45.1,86.0,9,2,2,4,0,,10,100
Student,Hobby,Monthly,No,71.9,4,66.0,5,0,3,1,5,28.3,53.3,6,0,1,4,0,,15,105
Working Professional,Certification,Annual,No,79.5,0,93.5,10,0,8,3,0,76.8,92.1,9,0,0,5,0,,10,100
Working Professional,Certification,Monthly,No,62.5,3,58.0,2,0,3,1,1,29.8,41.6,9,0,1,4,0,,15,150
Working Professional,Get a Job,Monthly,No,41.9,5,13.7,26,-1,3,3,0,82.5,3.3,1,0,4,1,1,5.0,15,30
Working Professional,Certification,Monthly,No,63.2,1,46.9,10,-1,7,2,0,83.3,27.5,3,0,0,3,0,,15,60
Working Professional,Certification,Monthly,Yes,76.1,1,97.7,20,-1,7,4,0,100.0,95.2,0,0,0,5,0,,15,15
Student,Get a Job,Monthly,No,85.2,1,85.7,3,0,18,4,1,92.9,83.8,24,0,0,5,0,,15,375
Career Switcher,Get a Job,Annual,No,52.4,4,28.8,17,-1,4,1,0,24.9,10.7,13,0,2,2,1,36.0,10,140
Student,Hobby,Monthly,No,85.4,0,100.0,4,1,8,6,2,100.0,98.2,21,0,0,5,0,,15,330
Student,Get a Job,Annual,Yes,60.3,2,78.1,2,1,7,0,2,21.3,72.9,0,1,0,4,0,,10,10
Student,Hobby,Monthly,Yes,75.4,0,100.0,24,-1,11,2,1,47.7,98.2,5,0,1,5,0,,15,90
Working Professional,Certification,Monthly,Yes,62.4,2,77.7,0,0,6,0,3,35.5,72.2,11,0,0,4,0,,15,180
Working Professional,Certification,Monthly,Yes,72.7,4,36.4,28,0,2,0,3,23.2,16.4,0,0,1,2,1,17.0,15,15
Student,Get a Job,Annual,No,83.4,3,85.0,6,-1,10,3,0,100.0,82.8,12,0,3,3,0,,10,130
Working Professional,Get a Job,Monthly,Yes,51.6,4,67.1,49,-1,2,1,0,41.2,55.0,8,0,1,3,1,27.0,15,135
Student,Get a Job,Annual,Yes,59.8,6,28.1,7,1,0,0,3,8.1,10.2,24,0,0,2,0,,10,250
Working Professional,Get a Job,Annual,Yes,72.8,5,31.6,14,-1,6,0,0,0.0,12.4,1,0,2,3,0,,10,20
Student,Get a Job,Annual,Yes,100.0,0,91.2,0,0,6,4,1,99.4,89.8,7,0,1,5,0,,10,80
Working Professional,Certification,Annual,Yes,57.1,4,71.5,6,0,17,3,1,37.1,62.4,23,0,0,4,0,,10,240
Working Professional,Hobby,Monthly,No,100.0,1,100.0,13,0,12,0,2,44.1,98.2,10,0,0,5,0,,15,165
Career Switcher,Certification,Monthly,Yes,100.0,1,76.1,15,-1,11,1,0,55.0,69.7,3,0,3,4,1,63.0,15,60
Student,Certification,Monthly,Yes,68.5,3,21.3,1,1,2,1,4,55.7,6.6,1,0,1,2,1,40.0,15,30
Student,Get a Job,Annual,No,65.5,5,52.0,5,0,5,1,0,28.9,33.8,24,0,1,3,0,,10,250
Student,Get a Job,Monthly,Yes,59.6,1,71.9,5,1,12,5,5,100.0,62.8,0,0,0,4,0,,15,15
Career Switcher,Get a Job,Monthly,Yes,69.0,4,47.7,1,1,3,1,5,50.8,28.7,24,0,1,3,0,,15,375
Career Switcher,Get a Job,Annual,No,48.9,4,26.5,5,1,2,0,6,3.3,9.1,2,0,0,3,0,,10,30
Student,Certification,Monthly,No,68.9,3,42.2,16,-1,4,2,0,77.7,21.9,15,0,2,2,1,98.0,15,240
Working Professional,Certification,Annual,No,92.5,1,97.9,3,1,10,2,3,62.1,95.3,6,0,0,5,0,,10,70
Career Switcher,Get a Job,Annual,No,60.8,1,69.9,5,0,2,1,0,29.7,59.9,19,0,0,4,0,,10,200
Working Professional,Certification,Monthly,Yes,66.4,3,38.6,32,0,5,1,1,63.5,18.7,4,2,1,2,1,5.0,15,75
Working Professional,Certification,Monthly,No,44.5,4,17.2,0,-1,0,0,1,11.9,4.6,15,0,0,2,1,5.0,15,240
Student,Hobby,Monthly,No,75.6,0,69.8,8,1,7,5,5,67.7,59.6,2,0,0,5,0,,15,45
Student,Get a Job,Annual,No,74.0,4,17.8,13,0,2,0,4,6.0,4.9,5,0,1,3,0,,10,60
Career Switcher,Certification,Annual,Yes,71.0,1,39.8,14,1,4,1,2,41.6,19.6,14,0,0,2,0,,10,150
Career Switcher,Hobby,Annual,No,66.7,4,19.5,12,-1,2,0,1,15.4,5.7,1,2,2,2,0,,10,20
Working Professional,Certification,Annual,No,65.6,6,73.7,12,1,9,0,2,37.4,65.4,10,0,0,4,0,,10,110
Student,Certification,Annual,No,77.5,0,95.2,0,-1,11,2,0,48.3,93.4,4,0,0,5,0,,10,50
Student,Certification,Monthly,Yes,69.6,2,49.0,7,1,8,2,4,40.4,30.2,5,0,0,3,0,,15,90
Working Professional,Hobby,Monthly,No,74.7,1,59.1,15,-1,3,1,1,59.7,43.3,6,0,1,4,0,,15,105
Career Switcher,Certification,Annual,No,73.2,1,76.4,0,1,6,1,4,38.6,70.4,2,0,0,5,0,,10,30
Career Switcher,Get a Job,Monthly,No,86.9,0,91.8,0,1,6,0,3,20.6,90.4,0,0,0,5,0,,15,15
Working Professional,Certification,Monthly,Yes,80.2,1,100.0,16,-1,10,3,0,81.9,98.2,0,1,0,5,1,15.0,15,15
Working Professional,Certification,Annual,No,72.9,3,60.2,12,0,7,10,0,100.0,45.0,4,0,0,3,0,,10,50
Student,Certification,Monthly,Yes,92.8,1,100.0,5,0,7,3,1,91.5,98.2,2,0,0,5,0,,15,45
Student,Get a Job,Annual,No,76.3,0,81.4,28,-1,8,3,3,89.2,77.9,8,0,0,4,0,,10,90
Career Switcher,Certification,Annual,No,89.6,0,78.2,14,0,6,0,4,29.7,73.1,10,0,1,4,0,,10,110
Working Professional,Certification,Monthly,No,79.1,0,90.2,34,-1,9,2,0,67.7,88.7,5,0,1,5,0,,15,90
Student,Hobby,Annual,Yes,42.4,9,33.3,26,-1,3,4,1,88.2,13.6,7,0,3,2,1,5.0,10,80
Student,Hobby,Monthly,Yes,89.6,0,70.9,6,1,11,3,5,53.6,61.5,6,0,1,3,0,,15,105
Working Professional,Certification,Monthly,No,72.0,6,38.5,14,-1,3,4,0,100.0,18.5,0,0,1,2,0,,15,15
Student,Certification,Monthly,No,69.2,3,56.5,11,1,4,0,2,31.0,39.4,14,1,0,4,0,,15,225
Student,Certification,Monthly,Yes,74.2,2,17.2,16,-1,1,0,0,31.3,4.7,0,0,2,3,1,127.0,15,15
Working Professional,Get a Job,Annual,No,64.8,5,48.8,15,-1,6,2,0,42.4,29.9,4,0,0,4,0,,10,50
Working Professional,Certification,Monthly,No,73.4,6,35.4,1,-1,2,0,2,31.9,15.4,0,0,3,2,1,27.0,15,15
Working Professional,Get a Job,Annual,Yes,61.1,1,43.5,2,1,2,2,3,61.7,23.3,8,0,0,3,0,,10,90
Student,Certification,Monthly,Yes,89.1,0,68.3,3,0,3,1,2,27.8,56.9,3,0,0,5,0,,15,60
Working Professional,Certification,Annual,Yes,68.3,4,70.4,17,-1,6,0,0,14.4,60.7,0,1,0,3,1,38.0,10,10
Student,Get a Job,Annual,Yes,64.3,4,63.9,16,-1,4,0,1,1.0,50.3,0,1,2,4,1,5.0,10,10
Student,Get a Job,Monthly,Yes,56.1,8,56.1,6,1,3,1,3,32.0,38.9,2,0,0,4,0,,15,45
Working Professional,Get a Job,Annual,No,74.0,3,47.3,8,0,4,1,2,37.1,28.1,8,1,1,3,0,,10,90
Working Professional,Certification,Monthly,No,72.8,4,75.7,17,-1,13,1,0,41.7,68.9,10,0,1,4,0,,15,165
Career Switcher,Certification,Monthly,Yes,75.8,1,93.5,3,1,9,2,2,64.5,92.1,1,0,1,4,0,,15,30
Working Professional,Certification,Annual,Yes,54.6,5,52.8,0,1,5,0,2,40.1,34.8,1,0,0,4,0,,10,20
Working Professional,Get a Job,Annual,No,46.0,3,45.3,6,1,1,1,5,40.4,25.6,7,1,0,4,0,,10,80
Student,Get a Job,Monthly,Yes,79.4,2,77.2,24,0,7,4,3,100.0,71.4,24,1,1,5,1,69.0,15,375
